2019-02-03 16:44:25 INFO pub register to bloker on tcp://127.0.0.1:5555. ip=tcp://127.0.0.1:5005, topic=hello1
2019-02-03 16:44:25 INFO publishing a msg. topic=hello1, value=555
2019-02-03 16:44:26 INFO publishing a msg. topic=hello1, value=555
2019-02-03 16:44:27 INFO publishing a msg. topic=hello1, value=555
2019-02-03 16:44:28 INFO publishing a msg. topic=hello1, value=555
2019-02-03 16:44:29 INFO publishing a msg. topic=hello1, value=555
2019-02-03 16:44:30 INFO publishing a msg. topic=hello1, value=555
2019-02-03 16:44:31 INFO publishing a msg. topic=hello1, value=555
2019-02-03 16:44:32 INFO publishing a msg. topic=hello1, value=555
2019-02-03 16:44:33 INFO publishing a msg. topic=hello1, value=555
2019-02-03 16:44:34 INFO publishing a msg. topic=hello1, value=555
2019-02-03 16:44:35 INFO publishing a msg. topic=hello1, value=555
2019-02-03 16:44:36 INFO publishing a msg. topic=hello1, value=555
